Original,Stemmed,Lemmatized
questions,question,question
who,who,who
was,wa,wa
really,realli,really
behind,behind,behind
assassination,assassin,assassination
attempt,attempt,attempt
president,presid,president
palmer,palmer,palmer
how,how,how
did,did,did
kim,kim,kim
bauer,bauer,bauer
get,get,get
job,job,job
la,la,la
ctu,ctu,ctu
jack,jack,jack
chase,chase,chase
edmunds,edmund,edmunds
start,start,start
working,work,working
penned,pen,penned
by,by,by
episode,episod,episode
writer,writer,writer
duppy,duppi,duppy
demetrius,demetriu,demetrius
stars,star,star
kiefer,kiefer,kiefer
sutherland,sutherland,sutherland
carlos,carlo,carlos
bernard,bernard,bernard
boasts,boast,boast
more,more,more
than,than,than
100,100,100
missions,mission,mission
told,told,told
branching,branch,branching
subplots,subplot,subplots
gameplay,gameplay,gameplay
includes,includ,includes
foot,foot,foot
sections,section,section
shooting,shoot,shooting
stealth,stealth,stealth
puzzles,puzzl,puzzle
sniping,snipe,sniping
driving,drive,driving
sequences,sequenc,sequence
interrogations,interrog,interrogation
technical,technic,technical
challenges,challeng,challenge
even,even,even
uses,use,us
unique,uniqu,unique
visual,visual,visual
style,style,style
multi,multi,multi
panel,panel,panel
windows,window,window
showing,show,showing
concurrent,concurr,concurrent
plot,plot,plot
developments,develop,development
sce,sce,sce
studios,studio,studio
cambridge,cambridg,cambridge
2k,2k,2k
games,game,game
sony,soni,sony
computer,comput,computer
entertainment,entertain,entertainment
february,februari,february
28,28,28
mature,matur,mature
50,50,50
cent,cent,cent
bulletproof,bulletproof,bulletproof
gets,get,get
caught,caught,caught
web,web,web
corruption,corrupt,corruption
double,doubl,double
crosses,cross,cross
shady,shadi,shady
deals,deal,deal
lead,lead,lead
bloody,bloodi,bloody
path,path,path
yorks,york,york
drug,drug,drug
underworld,underworld,underworld
teaming,team,teaming
up,up,up
g,g,g
unit,unit,unit
crew,crew,crew
takes,take,take
crime,crime,crime
families,famili,family
city,citi,city
uncovering,uncov,uncovering
an,an,an
international,intern,international
conspiracy,conspiraci,conspiracy
devastating,devast,devastating
implications,implic,implication
features,featur,feature
album,album,album
tracks,track,track
songs,song,song
from,from,from
recorded,record,recorded
exclusively,exclus,exclusively
well,well,well
dozen,dozen,dozen
videos,video,video
along,along,along
original,origin,original
hot,hot,hot
beats,beat,beat
scoring,score,scoring
sha,sha,sha
money,money,money
xl,xl,xl
exec,exec,exec
producer,produc,producer
addition,addit,addition
offer,offer,offer
sound,sound,sound
studio,studio,studio
mode,mode,mode
which,which,which
gamers,gamer,gamers
can,can,can
mix,mix,mix
match,match,match
freestyles,freestyl,freestyle
straight,straight,straight
camp,camp,camp
genuine,genuin,genuine
vivendi,vivendi,vivendi
november,novemb,november
17,17,17
2005,2005,2005
atv,atv,atv
offroad,offroad,offroad
fury,furi,fury
developed,develop,developed
climax,climax,climax
group,group,group
inc,inc,inc
took,took,took
over,over,over
rainbow,rainbow,rainbow
third,third,third
million,million,million
selling,sell,selling
racing,race,racing
franchise,franchis,franchise
intense,intens,intense
free,free,free
roaming,roam,roaming
additional,addit,additional
courses,cours,course
larger,larger,larger
environments,environ,environment
extra,extra,extra
modes,mode,mode
mini,mini,mini
atvs,atv,atvs
via,via,via
network,network,network
adaptor,adaptor,adaptor
offline,offlin,offline
tear,tear,tear
it,it,it
anywhere,anywher,anywhere
blaze,blaze,blaze
their,their,their
own,own,own
trail,trail,trail
choosing,choos,choosing
highly,highli,highly
detailed,detail,detailed
including,includ,including
six,six,six
competing,compet,competing
all,all,all
single,singl,single
varied,vari,varied
visually,visual,visually
stunning,stun,stunning
backgrounds,background,background
featuring,featur,featuring
water,water,water
mud,mud,mud
effects,effect,effect
interactive,interact,interactive
objects,object,object
instances,instanc,instance
such,such,such
ramps,ramp,ramp
tires,tire,tire
cones,cone,cone
trees,tree,tree
also,also,also
short,short,short
track,track,track
one,one,one
day,day,day
olympic,olymp,olympic
championships,championship,championship
2,2,2
2004,2004,2004
everyone,everyon,everyone
4,4,4
hits,hit,hit
fourth,fourth,fourth
gear,gear,gear
another,anoth,another
select,select,select
your,your,your
favorite,favorit,favorite
or,or,or
history,histori,history
mx,mx,mx
bikes,bike,bike
buggies,buggi,buggy
trophy,trophi,trophy
trucks,truck,truck
race,race,race
72,72,72
tenacious,tenaci,tenacious
different,differ,different
continents,contin,continent
en,en,en
route,rout,route
checkered,checker,checkered
flag,flag,flag
story,stori,story
be,be,be
able,abl,able
live,live,live
life,life,life
rookie,rooki,rookie
rider,rider,rider
earn,earn,earn
ranks,rank,rank
professional,profession,professional
racer,racer,racer
experience,experi,experience
drama,drama,drama
intensity,intens,intensity
realistic,realist,realistic
increasingly,increasingli,increasingly
difficult,difficult,difficult
tied,tie,tied
engaging,engag,engaging
driven,driven,driven
full,full,full
motion,motion,motion
fmvs,fmv,fmvs
adds,add,add
cross,cross,cross
communication,commun,communication
capabilities,capabl,capability
pro,pro,pro
psp,psp,psp
system,system,system
vehicle,vehicl,vehicle
exchanges,exchang,exchange
upgrades,upgrad,upgrade
shared,share,shared
communities,commun,community
ability,abil,ability
share,share,share
user,user,user
created,creat,created
circuits,circuit,circuit
supporting,support,supporting
eight,eight,eight
offers,offer,offer
tournaments,tournament,tournament
voice,voic,voice
text,text,text
chat,chat,chat
profiles,profil,profile
downloadable,download,downloadable
content,content,content
exchange,exchang,exchange
data,data,data
featured,featur,featured
editor,editor,editor
extensive,extens,extensive
tuning,tune,tuning
customization,custom,customization
options,option,option
scea,scea,scea
31,31,31
quad,quad,quad
power,power,power
acclaim,acclaim,acclaim
january,januari,january
14,14,14
2003,2003,2003
na,na,na
ace,ace,ace
combat,combat,combat
5,5,5
unsung,unsung,unsung
war,war,war
flight,flight,flight
namco,namco,namco
lets,let,let
take,take,take
part,part,part
air,air,air
battles,battl,battle
superpowers,superpow,superpower
osea,osea,osea
yuktobania,yuktobania,yuktobania
attempting,attempt,attempting
intercept,intercept,intercept
unidentified,unidentifi,unidentified
aircraft,aircraft,aircraft
108th,108th,108th
tactical,tactic,tactical
fighter,fighter,fighter
squadron,squadron,squadron
destroyed,destroy,destroyed
base,base,base
scrambles,scrambl,scramble
its,it,it
defenses,defens,defense
goes,goe,go
red,red,red
alert,alert,alert
you,you,you
elite,elit,elite
pilots,pilot,pilot
called,call,called
protect,protect,protect
home,home,home
nation,nation,nation
5th,5th,5th
namcos,namco,namcos
landmark,landmark,landmark
ultra–realistic,ultra–realist,ultra–realistic
graphics,graphic,graphic
licensed,licens,licensed
all–new,all–new,all–new
wingman,wingman,wingman
command,command,command
issue,issu,issue
orders,order,order
coordinate,coordin,coordinate
attacks,attack,attack
split–second,split–second,split–second
decisions,decis,decision
determine,determin,determine
mission,mission,mission
success,success,success
failure,failur,failure
intriguing,intrigu,intriguing
spans,span,span
30,30,30
showcases,showcas,showcase
exquisitely,exquisit,exquisitely
real–time,real–tim,real–time
weather,weather,weather
dynamic,dynam,dynamic
lighting,light,lighting
multiple,multipl,multiple
loads,load,load
unlockable,unlock,unlockable
hours,hour,hour
flying,fli,flying
excitement,excit,excitement
project,project,project
aces,ace,ace
25,25,25
zero,zero,zero
belkan,belkan,belkan
taking,take,taking
place,place,place
15,15,15
prior,prior,prior
focuses,focus,focus
older,older,older
jets,jet,jet
predecessors,predecessor,predecessor
appear,appear,appear
favorites,favorit,favorite
f,f,f
15c,15c,15c
eagle,eagl,eagle
fa,fa,fa
18c,18c,18c
hornet,hornet,hornet
april,april,april
rating,rate,rating
pending,pend,pending
alias,alia,alias
person,person,person
adventure,adventur,adventure
containing,contain,containing
blend,blend,blend
sydney,sydney,sydney
bristow—deadly,bristow—deadli,bristow—deadly
cia,cia,cia
field,field,field
agent,agent,agent
use,use,use
gadgets,gadget,gadget
training,train,training
pursue,pursu,pursue
arch,arch,arch
nemesis,nemesi,nemesis
around,around,around
globe,globe,globe
rescue,rescu,rescue
partner,partner,partner
whether,whether,whether
youre,your,youre
clock,clock,clock
being,be,being
hunted,hunt,hunted
enemy,enemi,enemy
fighting,fight,fighting
odds,odd,odds
fleeing,flee,fleeing
relentless,relentless,relentless
utilize,util,utilize
incredible,incred,incredible
spyware,spywar,spyware
array,array,array
disguises,disguis,disguise
covert,covert,covert
across,across,across
heart,heart,heart
stopping,stop,stopping
tension,tension,tension
award,award,award
winning,win,winning
include,includ,include
ways,way,way
levels,level,level
objectives,object,objective
twisting,twist,twisting
crafted,craft,crafted
writers,writer,writer
close,close,close
ties,tie,tie
using,use,using
official,offici,official
script,script,script
costumes,costum,costume
voices,voic,voice
cheltenham,cheltenham,cheltenham
buena,buena,buena
vista,vista,vista
6,6,6
alien,alien,alien
hominid,hominid,hominid
originally,origin,originally
wildly,wildli,wildly
flash,flash,flash
newgrounds,newground,newgrounds
website,websit,website
art,art,art
synj,synj,synj
industries,industri,industry
programming,program,programming
founder,founder,founder
tom,tom,tom
fulp,fulp,fulp
music,music,music
lhm,lhm,lhm
blaster,blaster,blaster
manic,manic,manic
yellow,yellow,yellow
monster,monster,monster
makes,make,make
way,way,way
console,consol,console
realm,realm,realm
still,still,still
blistering,blister,blistering
hand,hand,hand
drawn,drawn,drawn
2d,2d,2d
version,version,version
vastly,vastli,vastly
improved,improv,improved
animation,anim,animation
soundtrack,soundtrack,soundtrack
vehicles,vehicl,vehicle
frantic,frantic,frantic
elements,element,element
side,side,side
scrolling,scroll,scrolling
homage,homag,homage
greats,great,great
like,like,like
contra,contra,contra
metal,metal,metal
slug,slug,slug
behemoth,behemoth,behemoth
o3,o3,o3
shooter,shooter,shooter
18,18,18
ape,ape,ape
escape,escap,escape
apes,ape,ape
back,back,back
sonys,soni,sonys
same,same,same
great,great,great
monkey,monkey,monkey
catching,catch,catching
setup,setup,setup
previous,previou,previous
humor,humor,humor
tons,ton,ton
extras,extra,extra
monkeys,monkey,monkey
specter,specter,specter
hes,he,he
teamed,team,teamed
human,human,human
scientist,scientist,scientist
doctor,doctor,doctor
tomoko,tomoko,tomoko
create,creat,create
crazy,crazi,crazy
shows,show,show
turn,turn,turn
humanity,human,humanity
mush,mush,mush
brained,brain,brained
couch,couch,couch
potatoes,potato,potato
jimmy,jimmi,jimmy
spike,spike,spike
professor,professor,professor
heroes,hero,hero
mesmerized,mesmer,mesmerized
silly,silli,silly
leaving,leav,leaving
young,young,young
kei,kei,kei
sister,sister,sister
yumi,yumi,yumi
deal,deal,deal
band,band,band
choose,choos,choose
play,play,play
either,either,either
although,although,although
equipment,equip,equipment
basic,basic,basic
moves,move,move
again,again,again
goal,goal,goal
enter,enter,enter
level,level,level
down,down,down
capture,captur,capture
them,them,them
net,net,net
there,there,there
400,400,400
catch,catch,catch
record,record,record
number,number,number
they,they,they
spread,spread,spread
reminiscent,reminisc,reminiscent
wild,wild,wild
west,west,west
arabian,arabian,arabian
desert,desert,desert
frozen,frozen,frozen
wasteland,wasteland,wasteland
fortunately,fortun,fortunately
duo,duo,duo
powerful,power,powerful
though,though,though
goofy,goofi,goofy
what,what,what
stand,stand,stand
out,out,out
personalities,person,personality
each,each,each
her,her,her
personality,person,personality
humorous,humor,humorous
cut,cut,cut
scenes,scene,scene
setups,setup,setup
brings,bring,brings
love,love,love
japan,japan,japan
arcana,arcana,arcanum
beyond,beyond,beyond
our,our,our
lies,lie,lie
elemental,element,elemental
beings,be,being
these,these,these
mighty,mighti,mighty
spirits,spirit,spirit
abilities,abil,ability
maidens,maiden,maiden
those,those,those
rare,rare,rare
humans,human,human
communicate,commun,communicate
long,long,long
ago,ago,ago
were,were,were
connected,connect,connected
however,howev,however
unexpectedly,unexpectedli,unexpectedly
split,split,split
apart,apart,apart
dimensional,dimension,dimensional
boundary,boundari,boundary
formed,form,formed
separating,separ,separating
seeking,seek,seeking
harness,har,harness
energy,energi,energy
mildred,mildr,mildred
avalon,avalon,avalon
trying,tri,trying
form,form,form
rift,rift,rift
merge,merg,merge
should,should,should
plan,plan,plan
succeed,succeed,succeed
never,never,never
help,help,help
prevent,prevent,prevent
bringing,bring,bringing
end,end,end
examu,examu,examu
atlus,atlu,atlus
2008,2008,2008
area,area,area
51,51,51
playstation,playstat,playstation
xbox,xbox,xbox
us,us,u
governments,govern,government
top,top,top
secret,secret,secret
secure,secur,secure
facility,facil,facility
located,locat,located
nevada,nevada,nevada
role,role,role
specialist,specialist,specialist
ethan,ethan,ethan
cole,cole,cole
hazardous,hazard,hazardous
biological,biolog,biological
waste,wast,waste
sent,sent,sent
investigate,investig,investigate
during,dure,during
investigation,investig,investigation
stumbles,stumbl,stumble
creatures,creatur,creature
virus,viru,virus
threatens,threaten,threatens
very,veri,very
save,save,save
earth,earth,earth
himself,himself,himself
fight,fight,fight
enigma,enigma,enigma
engage,engag,engage
epic,epic,epic
massive,massiv,massive
battle,battl,battle
corridors,corridor,corridor
discover,discov,discover
secrets,secret,secret
extraterrestrial,extraterrestri,extraterrestrial
menace,menac,menace
before,befor,before
too,too,too
late,late,late
types,type,type
weapons,weapon,weapon
screen,screen,screen
multiplayer,multiplay,multiplayer
designed,design,designed
stan,stan,stan
winston,winston,winston
midway,midway,midway
austin,austin,austin
arena,arena,arena
football,footbal,football
true,true,true
afl,afl,afl
rules,rule,rule
feature,featur,feature
8,8,8
sides,side,side
ball,ball,ball
send,send,send
walls,wall,wall
exciting,excit,exciting
fast,fast,fast
paced,pace,paced
high,high,high
offenses,offens,offense
allow,allow,allow
launch,launch,launch
aerial,aerial,aerial
assault,assault,assault
playbooks,playbook,playbook
coaches,coach,coach
tiburon,tiburon,tiburon
electronic,electron,electronic
arts,art,art
sports,sport,sport
7,7,7
armored,armor,armored
core,core,core
nexus,nexu,nexus
eighth,eighth,eighth
mech,mech,mech
enables,enabl,enables
four,four,four
simultaneous,simultan,simultaneous
ships,ship,ship
discs,disc,disc
labeled,label,labeled
revolution,revolut,revolution
contains,contain,contains
remakes,remak,remake
other,other,other
disk,disk,disk
evolution,evolut,evolution
completely,complet,completely
changes,chang,change
custom,custom,custom
scenarios,scenario,scenario
change,chang,change
depending,depend,depending
choices,choic,choice
enhanced,enhanc,enhanced
upgrade,upgrad,upgrade
better,better,better
tougher,tougher,tougher
rivals,rival,rival
fledged,fledg,fledged
released,releas,released
march,march,march
fromsoftware,fromsoftwar,fromsoftware
simulation,simul,simulation
atelier,ateli,atelier
iris,iri,iris
eternal,etern,eternal
mana,mana,mana
gust,gust,gust
follows,follow,follows
adventures,adventur,adventure
alchemist,alchemist,alchemist
klein,klein,klein
kiesling,kiesl,kiesling
he,he,he
explores,explor,explores
regallzine,regallzin,regallzine
fabled,fabl,fabled
sky,sky,sky
joined,join,joined
companions,companion,companion
lita,lita,lita
popo,popo,popo
nom,nom,nom
arlin,arlin,arlin
delsus,delsu,delsus
employs,employ,employ
powers,power,power
alchemy,alchemi,alchemy
dozens,dozen,dozen
classic,classic,classic
strategyrpg,strategyrpg,strategyrpg
mold,mold,mold
synthesize,synthes,synthesize
items,item,item
gain,gain,gain
additioaln,additioaln,additioaln
arcade,arcad,arcade
controls,control,control
used,use,used
enable,enabl,enable
option,option,option
jump,jump,jump
slash,slash,slash
nis,ni,ni
june,june,june
29,29,29
athens,athen,athens
greece,greec,greece
summer,summer,summer
disciplines,disciplin,discipline
seven,seven,seven
acquatics,acquat,acquatics
athletics,athlet,athletics
gymnastics,gymnast,gymnastics
archery,archeri,archery
equestrian,equestrian,equestrian
weightlifting,weightlift,weightlifting
64,64,64
represented,repres,represented
countries,countri,country
uk,uk,uk
company,compani,company
eurocom,eurocom,eurocom
july,juli,july
12,12,12
b,b,b
boy,boy,boy
toprock,toprock,toprock
master,master,master
move,move,move
just,just,just
cant,cant,cant
stop,stop,stop
freezing,freez,freezing
breaking,break,breaking
serious,seriou,serious
dance,danc,dance
collaboration,collabor,collaboration
legs,leg,leg
dj,dj,dj
hooch,hooch,hooch
dynamically,dynam,dynamically
controlled,control,controlled
best,best,best
boys,boy,boy
planet,planet,planet
course,cours,course
depth,depth,depth
build,build,build
superstar,superstar,superstar
host,host,host
legendary,legendari,legendary
worked,work,worked
closely,close,closely
development,develop,development
team,team,team
ensure,ensur,ensure
authenticity,authent,authenticity
learn,learn,learn
develop,develop,develop
800,800,800
captured,captur,captured
progress,progress,progress
street,street,street
gaining,gain,gaining
respect,respect,respect
visiting,visit,visiting
21,21,21
venues,venu,venue
40,40,40
rival,rival,rival
total,total,total
freestylegames,freestylegam,freestylegames
scee,scee,scee
southpeak,southpeak,southpeak
august,august,august
barnyard,barnyard,barnyard
paramount,paramount,paramount
pictures,pictur,picture
nickelodeon,nickelodeon,nickelodeon
movies,movi,movie
theatrical,theatric,theatrical
look,look,look
at,at,at
farm,farm,farm
animals,anim,animal
when,when,when
not,not,not
cow,cow,cow
block,block,block
work,work,work
rendered,render,rendered
3d,3d,3d
prove,prove,prove
biggest,biggest,biggest
party,parti,party
animal,anim,animal
blue,blue,blue
tongue,tongu,tongue
thq,thq,thq
mobile,mobil,mobile
suit,suit,suit
gundam,gundam,gundam
seed,seed,seed
starring,star,starring
anime,anim,anime
characters,charact,character
playable,playabl,playable
suits,suit,suit
wing,wing,wing
five,five,five
vs,vs,v
tag,tag,tag
cooperative,cooper,cooperative
special,special,special
–,–,–
immersive,immers,immersive
let,let,let
destroy,destroy,destroy
buildings,build,building
then,then,then
attack,attack,attack
opponents,oppon,opponent
december,decemb,december
battlefield,battlefield,battlefield
modern,modern,modern
blockbuster,blockbust,blockbuster
ea,ea,ea
digital,digit,digital
illusions,illus,illusion
era,era,era
edition,edit,edition
somewhat,somewhat,somewhat
similar,similar,similar
pcs,pc,pc
united,unit,united
states,state,state
china,china,china
middle,middl,middle
east,east,east
coalition,coalit,coalition
harrowing,harrow,harrowing
tanks,tank,tank
choppers,chopper,chopper
any,ani,any
military,militari,military
make,make,make
70,70,70
kinds,kind,kind
heat,heat,heat
seaking,seak,seaking
missles,missl,missles
laser,laser,laser
designated,design,designated
bombs,bomb,bomb
hardware,hardwar,hardware
ce,ce,ce
dice,dice,dice
ben,ben,ben
protector,protector,protector
glance,glanc,glance
year,year,year
looks,look,look
average,averag,average
everyday,everyday,everyday
kid,kid,kid
upon,upon,upon
closer,closer,closer
inspection,inspect,inspection
’,’,’
s,s,s
plain,plain,plain
see,see,see
youngest,youngest,youngest
hero,hero,hero
evildoers,evildo,evildoer
space,space,space
omnitrix,omnitrix,omnitrix
transform,transform,transform
heroic,heroic,heroic
forms,form,form
extraordinary,extraordinari,extraordinary
vilgax,vilgax,vilgax
kevin,kevin,kevin
11,11,11
forever,forev,forever
knights,knight,knight
danger…ben,danger…ben,danger…ben
familiar,familiar,familiar
voltage,voltag,voltage
software,softwar,software
d3,d3,d3
blitz,blitz,blitz
league,leagu,league
known,known,known
pushes,push,push
without,without,without
nfl,nfl,nfl
license,licens,license
dramatic,dramat,dramatic
bring,bring,bring
lifestyles,lifestyl,lifestyle
controversy,controversi,controversy
nitty,nitti,nitty
gritty,gritti,gritty
chemical,chemic,chemical
sport,sport,sport
bloodrayne,bloodrayn,bloodrayne
vampiric,vampir,vampiric
youll,youll,youll
travel,travel,travel
eerie,eeri,eerie
swamps,swamp,swamp
louisiana,louisiana,louisiana
argentina,argentina,argentina
germany,germani,germany
heavy,heavi,heavy
thriller,thriller,thriller
non,non,non
linear,linear,linear
suck,suck,suck
blood,blood,blood
health,health,health
slow,slow,slow
zoom,zoom,zoom
aura,aura,aura
visions,vision,vision
aid,aid,aid
dealing,deal,dealing
pull,pull,pull
fantastic,fantast,fantastic
acrobatic,acrobat,acrobatic
bend,bend,bend
dispatch,dispatch,dispatch
bloodraynes,bloodrayn,bloodraynes
blades,blade,blade
kicks,kick,kick
awesome,awesom,awesome
face,face,face
carry,carri,carry
weapon,weapon,weapon
guns,gun,gun
explosives,explos,explosive
rocket,rocket,rocket
launchers,launcher,launcher
fill,fill,fill
bloodlust,bloodlust,bloodlust
meter,meter,meter
activate,activ,activate
rage,rage,rage
damaging,damag,damaging
defeat,defeat,defeat
nazis,nazi,nazi
mutants,mutant,mutant
swamp,swamp,swamp
ancient,ancient,ancient
parasitic,parasit,parasitic
monsters,monster,monster
sucking,suck,sucking
beasts,beast,beast
terminal,termin,terminal
reality,realiti,reality
majesco,majesco,majesco
2002,2002,2002
brave,brave,brave
spirit,spirit,spirit
dancer,dancer,dancer
mythology,mytholog,mythology
native,nativ,native
america,america,america
tells,tell,tell
coming,come,coming
age,age,age
american,american,american
embarking,embark,embarking
journey,journey,journey
tribe,tribe,tribe
village,villag,village
wendigo,wendigo,wendigo
enslaved,enslav,enslaved
find,find,find
greatest,greatest,greatest
shaman,shaman,shaman
ever,ever,ever
lived,live,lived
hunting,hunt,hunting
snarling,snarl,snarling
wolves,wolv,wolf
huge,huge,huge
forest,forest,forest
towering,tower,towering
redwood,redwood,redwood
canoeing,cano,canoeing
raging,rage,raging
river,river,river
rapids,rapid,rapid
tracking,track,tracking
sasquatch,sasquatch,sasquatch
swirling,swirl,swirling
blizzard,blizzard,blizzard
battling,battl,battling
buffalo,buffalo,buffalo
stampede,stamped,stampede
breathtaking,breathtak,breathtaking
beautifully,beauti,beautifully
rich,rich,rich
inhabited,inhabit,inhabited
remarkable,remark,remarkable
bizarre,bizarr,bizarre
terrifying,terrifi,terrifying
vis,vi,vi
evolved,evolv,evolved
brothers,brother,brother
arms,arm,arm
earned,earn,earned
chapter,chapter,chapter
wwii,wwii,wwii
about,about,about
men,men,men
consequences,consequ,consequence
warfare,warfar,warfare
delve,delv,delve
deeper,deeper,deeper
authentic,authent,authentic
sgt,sgt,sgt
joe,joe,joe
hartsock,hartsock,hartsock
squad,squad,squad
leader,leader,leader
2nd,2nd,2nd
represent,repres,represent
101st,101st,101st
airborne,airborn,airborne
screaming,scream,screaming
eagles,eagl,eagle
squads,squad,squad
paratroopers,paratroop,paratrooper
fire,fire,fire
torn,torn,torn
frances,franc,france
urban,urban,urban
streets,street,street
villages,villag,village
verge,verg,verge
liberating,liber,liberating
last,last,last
regions,region,region
france,franc,france
deep,deep,deep
lines,line,line
further,further,further
gearbox,gearbox,gearbox
ubisoft,ubisoft,ubisoft
26,26,26
road,road,road
hill,hill,hill
texas,texa,texas
aims,aim,aim
ii,ii,ii
shooters,shooter,shooter
puts,put,put
matt,matt,matt
baker,baker,baker
d,d,d
paratrooper,paratroop,paratrooper
leads,lead,lead
european,european,european
campaign,campaign,campaign
meticulously,meticul,meticulously
recreated,recreat,recreated
reconnaissance,reconnaiss,reconnaissance
images,imag,image
army,armi,army
signal,signal,signal
corps,corp,corp
photos,photo,photo
eye,eye,eye
witness,wit,witness
accounts,account,account
normandy,normandi,normandy
available,avail,available
pc,pc,pc
bujingai,bujingai,bujingai
forsaken,forsaken,forsaken
speed,speed,speed
n,n,n
co,co,co
taito,taito,taito
celebrate,celebr,celebrate
latters,latter,latter
50th,50th,50th
anniversary,anniversari,anniversary
lau,lau,lau
23rd,23rd,23rd
century,centuri,century
destruction,destruct,destruction
population,popul,population
things,thing,thing
rolling,roll,rolling
returns,return,return
intergalactic,intergalact,intergalactic
sabbatical,sabbat,sabbatical
horde,hord,horde
invading,invad,invading
demons,demon,demon
begun,begun,begun
overtake,overtak,overtake
landscape,landscap,landscape
hell,hell,hell
arsenal,arsen,arsenal
spin,spin,spin
spell,spell,spell
commands,command,command
order,order,order
fend,fend,fend
possibility,possibl,possibility
landing,land,landing
combos,combo,combo
1000,1000,1000
bam,bam,bam
22,22,22
bully,bulli,bully
going,go,going
anymore,anymor,anymore
edgy,edgi,edgy
rockstars,rockstar,rockstars
vancouver,vancouv,vancouver
comes,come,come
dark,dark,dark
comedy,comedi,comedy
vile,vile,vile
sadistic,sadist,sadistic
setting,set,setting
yet,yet,yet
rockstar,rockstar,rockstar
videogame,videogam,videogame
schoolyard,schoolyard,schoolyard
troublesome,troublesom,troublesome
schoolboy,schoolboy,schoolboy
laugh,laugh,laugh
cringe,cring,cringe
bullies,bulli,bully
picked,pick,picked
teachers,teacher,teacher
pranks,prank,prank
malicious,malici,malicious
kids,kid,kid
win,win,win
lose,lose,lose
girl,girl,girl
ultimately,ultim,ultimately
navigate,navig,navigate
obstacles,obstacl,obstacle
fictitious,fictiti,fictitious
reform,reform,reform
school,school,school
bullworth,bullworth,bullworth
academy,academi,academy
burnout,burnout,burnout
takedown,takedown,takedown
introduces,introduc,introduces
crash,crash,crash
burn,burn,burn
concept,concept,concept
kind,kind,kind
engine,engin,engine
delivers,deliv,delivers
spectacular,spectacular,spectacular
visuals,visual,visuals
heats,heat,heat
often,often,often
oncoming,oncom,oncoming
traffic,traffic,traffic
claim,claim,claim
spot,spot,spot
boasting,boast,boasting
opportunity,opportun,opportunity
busy,busi,busy
rewarded,reward,rewarded
risks,risk,risk
result,result,result
pounding,pound,pounding
electrifying,electrifi,electrifying
crashes,crash,crash
criterion,criterion,criterion
dominator,domin,dominator
blooded,blood,blooded
brutal,brutal,brutal
tests,test,test
aggressive,aggress,aggressive
